OTU,DRF,GBM,GLM,DeepLearning
OTU999_g__Acinetobacter,0.2240802675585284,0.0,0.40802675585284276,0.5652173913043479
OTU965_g__Moraxella,0.0,0.0,0.05685618729096986,0.6020066889632107
OTU960_g__Vibrio,0.0,0.0,0.09698996655518399,0.862876254180602
OTU929_g__Aeromonas,0.0,0.0,0.01672240802675584,0.7123745819397993
OTU92_g__Fusobacterium,0.0,0.006688963210702337,0.21070234113712372,0.5585284280936456
OTU918_g__Succinivibrio,0.0,0.0,0.17725752508361203,0.6789297658862876
OTU917_g__Alteromonas,0.0,0.0,0.3812709030100334,0.8729096989966555
OTU845_g__Stenotrophomonas,0.02006688963210701,0.0,0.6120401337792643,0.5785953177257526
OTU84_g__Cetobacterium,0.1906354515050167,0.23076923076923073,0.4247491638795987,0.6588628762541806
OTU743_g__Sutterella,0.0,0.0,0.2675585284280937,0.4816053511705686
OTU740_g__Turicimonas,0.0,0.0,0.14381270903010035,1.0
OTU739_g__Ralstonia,0.03678929765886285,0.0,0.4916387959866221,0.6822742474916388
OTU704_g__Oxalobacter,0.0,0.0,0.4916387959866221,0.6053511705685619
OTU69_g__Gemmatimonas,0.0,0.0,0.31438127090301005,0.7525083612040133
OTU66_g__Gemmatirosa,0.0,0.0,0.18394648829431437,0.5719063545150502
OTU65_g__Candidatus_Koribacter,0.0,0.0,0.07023411371237454,0.7792642140468228
OTU631_g__Sphaerotilus,0.0,0.0,0.3812709030100334,1.0
OTU611_g__Conchiformibius,0.0,0.0,0.35451505016722407,0.6822742474916388
OTU58_g__Paludibaculum,0.0,0.0,0.46153846153846156,0.6321070234113713
OTU32_g__Dissulfurispira,0.03678929765886285,0.0,0.02006688963210701,0.7391304347826086
OTU291_g__Desulfovibrio,0.01672240802675584,0.0,0.14381270903010035,0.7324414715719063
OTU284_g__Oleidesulfovibrio,0.0,0.0033444816053511683,0.21739130434782605,0.5150501672240803
OTU2679_g__Intestinimonas,0.04347826086956519,0.0,0.3210702341137124,0.7123745819397993
OTU2678_g__Massilistercora,0.0033444816053511683,0.0,0.21739130434782605,0.5150501672240803
OTU2677_g__Flintibacter,0.0,0.0,0.2006688963210702,0.6588628762541806
OTU2674_g__Gemella,0.01672240802675584,0.0,0.4247491638795987,0.6120401337792643
OTU2600_g__Roseburia,0.0,0.0,0.05685618729096986,0.782608695652174
OTU2597_g__Blautia,0.010033444816053505,0.0,0.2675585284280937,0.8093645484949833
OTU2588_g__Lachnospira,0.0,0.0033444816053511683,0.1705685618729097,0.8795986622073578
OTU2587_g__Anaerostipes,0.0,0.0,0.3812709030100334,0.5785953177257526
OTU2584_g__Mediterraneibacter,0.0,0.01672240802675584,0.1906354515050167,0.6287625418060201
OTU2579_g__Coprococcus,0.01672240802675584,0.0,0.10367892976588633,0.7123745819397993
OTU2577_g__Dorea,0.0,0.0033444816053511683,0.6387959866220736,0.5150501672240803
OTU2575_g__Anaerobutyricum,0.0,0.0,0.29431438127090304,0.6722408026755853
OTU2573_g__Lacrimispora,0.0,0.0033444816053511683,0.7725752508361204,0.6588628762541806
OTU2571_g__Butyrivibrio,0.050167224080267525,0.0033444816053511683,0.3210702341137124,0.7123745819397993
OTU2567_g__Lachnoanaerobaculum,0.0,0.0,0.5351170568561873,0.6120401337792643
OTU2566_g__Simiaoa,0.05685618729096986,0.12374581939799334,0.5986622073578596,0.7123745819397993
OTU2565_g__Qiania,0.0,0.0,1.0,0.6287625418060201
OTU2564_g__Wujia,0.03344481605351168,0.0033444816053511683,0.274247491638796,0.5284280936454849
OTU2563_g__Tyzzerella,0.01672240802675584,0.0,0.4180602006688964,0.6989966555183946
OTU2562_g__Anaeromicropila,0.0,0.0,0.050167224080267525,0.7892976588628763
OTU2561_g__Anaerotignum,0.02341137123745818,0.0,0.17725752508361203,0.6588628762541806
OTU2560_g__Lachnoclostridium,0.010033444816053505,0.010033444816053505,0.5919732441471572,0.5652173913043479
OTU2555_g__Marvinbryantia,0.0,0.0,0.2441471571906354,0.6321070234113713
OTU2554_g__Enterocloster,0.006688963210702337,0.02006688963210701,0.4816053511705686,0.765886287625418
OTU2551_g__Pseudobutyrivibrio,0.0,0.0,0.117056856187291,0.6488294314381271
OTU2549_g__Anaerocolumna,0.0,0.0,0.08361204013377932,0.725752508361204
OTU2547_g__Sellimonas,0.20401337792642138,0.0,0.68561872909699,0.8260869565217391
OTU2546_g__Faecalicatena,0.0,0.0,0.10367892976588633,0.7391304347826086
OTU2545_g__Anaeropeptidivorans,0.0033444816053511683,0.10367892976588633,0.5852842809364549,0.9464882943143813
OTU2544_g__Herbinix,0.0,0.0,0.5384615384615384,0.7123745819397993
OTU2542_g__Wansuia,0.01672240802675584,0.0,0.23745819397993306,0.705685618729097
OTU2541_g__Faecalibacterium,0.006688963210702337,0.0,0.5250836120401338,0.7525083612040133
OTU2529_g__Ruminococcus,0.0033444816053511683,0.0,0.34782608695652173,0.7357859531772575
OTU2524_g__Vescimonas,0.0,0.0,0.4481605351170569,0.7993311036789298
OTU2523_g__Subdoligranulum,0.03344481605351168,0.0,0.4816053511705686,0.842809364548495
OTU2522_g__Solibaculum,0.03344481605351168,0.0,0.03344481605351168,0.7725752508361204
OTU2521_g__Dysosmobacter,0.03344481605351168,0.0,0.09698996655518399,0.6187290969899666
OTU2519_g__Flavonifractor,0.03678929765886285,0.0,0.35451505016722407,0.7892976588628763
OTU2518_g__Ruthenibacterium,0.04347826086956519,0.0,0.6187290969899666,0.6187290969899666
OTU2517_g__Fastidiosipila,0.0,0.0,0.15384615384615385,0.725752508361204
OTU2516_g__Oscillibacter,0.02341137123745818,0.0,0.03344481605351168,0.5384615384615384
OTU2515_g__Acutalibacter,0.07023411371237454,0.10367892976588633,0.4448160535117057,0.6488294314381271
OTU2513_g__Acetivibrio,0.03344481605351168,0.07023411371237454,0.6789297658862876,0.49498327759197325
OTU2511_g__Anaerotruncus,0.0,0.0,0.3277591973244147,0.8361204013377926
OTU2509_g__Caproicibacterium,0.0,0.0,0.02341137123745818,0.6722408026755853
OTU2507_g__Pseudoclostridium,0.03344481605351168,0.0,0.07692307692307687,0.8662207357859532
OTU2506_g__Pusillibacter,0.0,0.0,0.1705685618729097,0.7190635451505016
OTU2505_g__Monoglobus,0.0,0.0,0.16387959866220736,0.6153846153846154
OTU2504_g__Ethanoligenens,0.0,0.0,0.1705685618729097,0.8528428093645485
OTU2502_g__Ruminiclostridium,0.01672240802675584,0.0,0.28428093645484953,0.6521739130434783
OTU2498_g__Clostridium,0.01672240802675584,0.0,0.4448160535117057,0.8461538461538461
OTU2454_g__Sarcina,0.0,0.0,0.548494983277592,0.7324414715719063
OTU2451_g__Alkaliphilus,0.0,0.0,0.5551839464882944,0.5418060200668897
OTU2450_g__Serpentinicella,0.01672240802675584,0.0,0.31438127090301005,0.7123745819397993
OTU2448_g__Hungatella,0.0,0.0,0.31438127090301005,0.5852842809364549
OTU2447_g__Caloramator,0.01672240802675584,0.0,0.3411371237458194,0.7558528428093645
OTU2445_g__Geosporobacter,0.0,0.0,0.41137123745819393,0.6488294314381271
OTU2444_g__Paraclostridium,0.01672240802675584,0.0,0.11036789297658867,0.8127090301003345
OTU2439_g__Paeniclostridium,0.04347826086956519,0.0,0.3277591973244147,0.6387959866220736
OTU2438_g__Terrisporobacter,0.03344481605351168,0.0,0.03344481605351168,0.7892976588628763
OTU2437_g__Clostridioides,0.010033444816053505,0.0,0.7123745819397993,0.5284280936454849
OTU2436_g__Romboutsia,0.01672240802675584,0.0,0.745819397993311,0.8862876254180602
OTU2433_g__Peptostreptococcus,0.0,0.0,0.46153846153846156,0.5919732441471572
OTU2432_g__Filifactor,0.0,0.0,0.20401337792642138,0.6287625418060201
OTU2429_g__Peptacetobacter,0.0,0.02006688963210701,0.3612040133779264,0.46153846153846156
OTU2427_g__Eubacterium,0.006688963210702337,0.0,0.5016722408026756,0.6923076923076923
OTU2422_g__Alkalibacter,1.0,1.0,0.548494983277592,0.782608695652174
OTU2419_g__Emergencia,0.34782608695652173,0.0,0.7391304347826086,0.548494983277592
OTU2418_g__Aminipila,0.25083612040133785,0.0,0.2006688963210702,0.4682274247491639
OTU2413_g__Christensenella,0.03344481605351168,0.02006688963210701,0.13043478260869568,0.5785953177257526
OTU2411_g__Candidatus_Formimonas,0.0,0.0,0.12374581939799334,0.548494983277592
OTU2396_g__Petrocella,0.08026755852842804,0.0,0.15384615384615385,0.6254180602006689
OTU2393_g__Desulfotomaculum,0.0,0.0,0.5083612040133779,0.4916387959866221
OTU2386_g__Heliorestis,0.0,0.0,0.1906354515050167,0.7391304347826086
OTU2382_g__Desulfoscipio,0.0,0.0,0.4481605351170569,0.6287625418060201
OTU2371_g__Ammonifex,0.03344481605351168,0.0,0.47491638795986624,0.8361204013377926
OTU2370_g__Thermanaeromonas,0.0,0.0,0.745819397993311,0.6254180602006689
OTU2357_g__Halothermothrix,0.0,0.0,0.0635451505016722,0.6053511705685619
OTU2348_g__Veillonella,0.09698996655518399,0.08361204013377932,0.050167224080267525,0.9130434782608696
OTU2345_g__Dialister,0.0,0.0,0.36789297658862874,0.9464882943143813
OTU2341_g__Megasphaera,0.04347826086956519,0.0,0.1705685618729097,0.5551839464882944
OTU2337_g__Phascolarctobacterium,0.02341137123745818,0.0,0.006688963210702337,0.6989966555183946
OTU2333_g__Acidaminococcus,0.02341137123745818,0.0,0.274247491638796,0.7391304347826086
OTU2332_g__Megamonas,0.0,0.0,0.25083612040133785,0.7023411371237458
OTU2330_g__Selenomonas,0.12374581939799334,0.0,0.6387959866220736,0.6655518394648829
OTU2323_g__Streptococcus,0.6053511705685619,0.3377926421404682,0.5217391304347826,0.4816053511705686
OTU2279_g__Lactococcus,0.0,0.0,0.15719063545150502,0.6789297658862876
OTU2272_g__Granulicatella,0.3612040133779264,0.4548494983277592,0.5384615384615384,0.5384615384615384
OTU2270_g__Carnobacterium,0.0,0.0,0.117056856187291,1.0
OTU227_g__Akkermansia,0.0,0.0,0.0635451505016722,0.49498327759197325
OTU2265_g__Enterococcus,0.01672240802675584,0.0,0.15384615384615385,0.8528428093645485
OTU2251_g__Limosilactobacillus,0.03678929765886285,0.0,0.4013377926421404,0.6588628762541806
OTU2242_g__Ligilactobacillus,0.02006688963210701,0.0,0.3745819397993311,0.8093645484949833
OTU2232_g__Lactobacillus,0.0,0.0,0.10367892976588633,0.939799331103679
OTU2199_g__Lactiplantibacillus,0.0,0.0,0.42140468227424754,0.842809364548495
OTU2193_g__Fructilactobacillus,0.0,0.0,0.20401337792642138,0.8862876254180602
OTU2157_g__Staphylococcus,0.35451505016722407,0.0033444816053511683,0.09698996655518399,0.7123745819397993
OTU2136_g__Bacillus,0.0,0.0,0.3076923076923077,0.6454849498327759
OTU2101_g__Lysinibacillus,0.0,0.0,0.09698996655518399,0.4682274247491639
OTU2095_g__Anoxybacillus,0.0,0.0,0.14381270903010035,0.7792642140468228
OTU207_g__Candidatus_Nanosynbacter,0.0,0.0,0.0,0.5217391304347826
OTU205_g__Candidatus_Saccharimonas,0.010033444816053505,0.0,0.2441471571906354,0.5217391304347826
OTU1964_g__Faecalibacillus,0.0,0.0033444816053511683,0.24749163879598657,0.705685618729097
OTU1962_g__Allobaculum,0.0,0.0,0.3946488294314381,0.5217391304347826
OTU1960_g__Amedibacterium,0.274247491638796,0.15719063545150502,0.6153846153846154,0.8862876254180602
OTU1959_g__Longicatena,0.04347826086956519,0.010033444816053505,0.1906354515050167,0.7591973244147157
OTU1952_g__Faecalitalea,0.0,0.0,0.24749163879598657,0.6287625418060201
OTU1951_g__Tannockella,0.05685618729096986,0.0,0.4013377926421404,0.725752508361204
OTU1948_g__Turicibacter,0.0,0.0,0.09698996655518399,0.6488294314381271
OTU1945_g__Thomasclavelia,0.010033444816053505,0.0,0.3946488294314381,0.6822742474916388
OTU1942_g__Catenibacterium,0.03678929765886285,0.0,0.6588628762541806,0.6187290969899666
OTU1937_g__Parvimonas,0.02341137123745818,0.0,0.21739130434782605,0.7926421404682275
OTU1923_g__Bifidobacterium,0.0,0.0,0.3377926421404682,0.6655518394648829
OTU1876_g__Schaalia,0.01672240802675584,0.0,0.7324414715719063,0.6488294314381271
OTU1844_g__Rothia,0.0,0.0,0.8127090301003345,0.6722408026755853
OTU1837_g__Arthrobacter,0.0,0.0,0.20401337792642138,0.5852842809364549
OTU179_g__Anaeromyxobacter,0.0,0.0,0.04347826086956519,0.7591973244147157
OTU1721_g__Rhodococcus,0.0,0.0,0.15384615384615385,0.8327759197324415
OTU169_g__Aminomonas,0.0,0.0,0.29431438127090304,0.5919732441471572
OTU168_g__Cloacibacillus,0.0,0.0,0.1705685618729097,0.5016722408026756
OTU1679_g__Cutibacterium,0.02006688963210701,0.0,0.14046822742474918,0.8862876254180602
OTU167_g__Pyramidobacter,0.0,0.0,0.4448160535117057,0.4882943143812709
OTU1628_g__Collinsella,0.0,0.0,0.4180602006688964,0.8862876254180602
OTU1623_g__Olsenella,0.0,0.0,0.1705685618729097,0.4816053511705686
OTU1619_g__Atopobium,0.010033444816053505,0.0,0.01672240802675584,0.8361204013377926
OTU1615_g__Phoenicibacter,0.03678929765886285,0.0,0.548494983277592,0.7792642140468228
OTU1614_g__Adlercreutzia,0.03344481605351168,0.0,0.08361204013377932,0.3946488294314381
OTU1612_g__Eggerthella,0.03344481605351168,0.0,0.23745819397993306,0.8662207357859532
OTU1609_g__Gordonibacter,0.02006688963210701,0.0,0.3010033444816054,0.7792642140468228
OTU1607_g__Denitrobacterium,0.31438127090301005,0.0,0.20401337792642138,0.6321070234113713
OTU1606_g__Raoultibacter,0.0,0.0,0.03344481605351168,0.7591973244147157
OTU1605_g__Slackia,0.0,0.0,0.15719063545150502,0.842809364548495
OTU1604_g__Xiamenia,0.02341137123745818,0.0,0.3745819397993311,0.6187290969899666
OTU1601_g__Berryella,0.37792642140468224,0.0,0.33444816053511706,0.725752508361204
OTU1597_g__Actinomarinicola,0.0,0.0,0.26086956521739135,0.5016722408026756
OTU1596_g__Aquihabitans,0.0,0.0,0.21739130434782605,0.6387959866220736
OTU1592_g__Thermoleophilum,0.0,0.0,0.02006688963210701,0.6722408026755853
OTU1583_g__Rubrobacter,0.0,0.0,0.14046822742474918,0.6722408026755853
OTU1569_g__Mesomycoplasma,0.0,0.0,0.3311036789297659,0.6187290969899666
OTU1549_g__Pelolinea,0.40802675585284276,0.0,0.1705685618729097,0.46153846153846156
OTU1536_g__Phocaeicola,0.02006688963210701,0.0,0.31438127090301005,0.9364548494983278
OTU1531_g__Bacteroides,0.137123745819398,0.0,0.27090301003344486,0.8929765886287625
OTU1507_g__Prevotella,0.0,0.09698996655518399,0.8193979933110368,0.5284280936454849
OTU1484_g__Paraprevotella,0.0,0.0,0.09698996655518399,0.8461538461538461
OTU1483_g__Pseudoprevotella,0.07023411371237454,0.07023411371237454,0.23076923076923073,0.7926421404682275
OTU1481_g__Hoylesella,0.13043478260869568,0.0,0.46153846153846156,0.6053511705685619
OTU1480_g__Parabacteroides,0.08026755852842804,0.2240802675585284,0.4247491638795987,0.7591973244147157
OTU1473_g__Alistipes,0.0,0.0,0.38795986622073575,0.7892976588628763
OTU1463_g__Sodaliphilus,0.0,0.0,0.0,0.7926421404682275
OTU1458_g__Butyricimonas,0.02006688963210701,0.0,0.5217391304347826,0.8862876254180602
OTU1456_g__Odoribacter,0.0,0.0,0.17725752508361203,0.862876254180602
OTU1455_g__Barnesiella,0.0,0.0,0.5150501672240803,0.5919732441471572
OTU1454_g__Coprobacter,0.02341137123745818,0.0,0.3210702341137124,0.7123745819397993
OTU1449_g__Porphyromonas,0.0,0.0,0.02006688963210701,0.725752508361204
OTU1438_g__Spirosoma,0.01672240802675584,0.0,0.16387959866220736,0.7391304347826086
OTU1322_g__Haemophilus,0.0,0.0,0.5852842809364549,0.6989966555183946
OTU1304_g__Frederiksenia,0.0,0.0,0.35451505016722407,0.8260869565217391
OTU1298_g__Escherichia,0.0,0.0,0.16387959866220736,0.705685618729097
OTU1293_g__Enterobacter,0.15384615384615385,0.0,0.3612040133779264,0.7591973244147157
OTU1259_g__Salmonella,0.0,0.0,0.02006688963210701,0.8729096989966555
OTU1257_g__Klebsiella,0.0,0.0,0.1906354515050167,0.765886287625418
OTU1235_g__Jejubacter,0.01672240802675584,0.0,0.07023411371237454,0.4280936454849499
OTU1232_g__Candidatus_Moranella,0.0,0.0,0.01672240802675584,0.7357859531772575
OTU1228_g__Shigella,0.0,0.0,0.26086956521739135,0.7926421404682275
OTU121_g__Leptolyngbya,0.03678929765886285,0.0,0.29431438127090304,0.6187290969899666
OTU1181_g__Sodalis,0.0,0.0,0.28428093645484953,0.6521739130434783
OTU1177_g__Providencia,0.03678929765886285,0.0,0.5785953177257526,0.6521739130434783
OTU1174_g__Proteus,0.07023411371237454,0.0,0.6321070234113713,0.6521739130434783
OTU1172_g__Morganella,0.0,0.0,0.14046822742474918,0.6053511705685619
OTU1163_g__Yersinia,0.0,0.0,0.09698996655518399,0.7792642140468228
OTU116_g__Limnospira,0.0,0.0,0.17725752508361203,0.8193979933110368
OTU1124_g__Buchnera,0.19732441471571904,0.0,0.5719063545150502,0.7725752508361204
OTU1098_g__Pseudomonas,,,,
